lemma	domains	subdomains	definitions
ἐκδικητής	'[''Relations'']'	'[''Judge, Condemn, Acquit'', ''Revenge'']'	one who exacts justice or vengeance
εκδιωκω	'[''Linear Movement'', ''Hostility, Strife'']'	'[''Pursue, Follow'', ''Persecution'']'	'[''to pursue to the point of driving out'', ''to systematically organize a program to oppress and harass people{N:001}'']'
εκει	'[''Spacial Positions'']'	'[''Here, There'']'	'[''a position relatively far from the speaker, writer, or viewpoint person{N:001}'']'
εκεινος	'[''Discourse Referentials'', ''Spacial Positions'']'	'[''Demonstrative or Deictic Reference'', ''Here, There'']'	'[''a reference to an entity regarded as relatively absent in terms of the discourse setting{N:001}'', ''a position relatively far from the speaker, writer, or viewpoint person{N:002}'']'
εκζητεω	'[''Learn'', ''Courts and Legal Procedures'']'	'[''Try To Learn'', ''Accusation'']'	'[''to exert considerable effort and care in learning something'', ''to charge someone with a crime or offense'']'
ἐκθλίβω	'[''Physical Events and States'']'	'[''Press'', ''Separate'']'	to extract by pressure
εκκαιω	'[''Attitudes and Emotions'']'	'[''Desire Strongly'']'	'[''(an idiom, literally: to burn with intense desire) to have a strong, intense desire for something'']'
ἐκκενόω	'[''Physical Events and States'']'	'[''Empty'']'	to remove contents, to make void
εκκλησια	'[''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Socio-Religious'', ''Socio-Religious'', ''Socio-Political'']'	'[''a congregation of Christians, implying interacting membership'', ''the totality of congregations of Christians'', ''a group of citizens assembled for socio-political activities'']'
εκκλινω	'[''Association'', ''Hold a View, Believe, Trust'', ''Aspect'']'	'[''Limit or Avoid Association'', ''Trust, Rely'', ''Cease, Stop'']'	'[''purposely to avoid association with someone{N:001}'', ''(a figurative extension of meaning of {L:ἐκκλίνω<SDBG:ἐκκλίνω:000000>}[a] ‘to avoid,’ {D:34.41}) to no longer put one’s trust or confidence in someone'', ''to cease doing something, with the implication of engaging in some alternative'']'
εκκοπτω	'[''Physical Impact'', ''Be, Become, Exist, Happen'']'	'[''Pierce, Cut'', ''Exist'']'	'[''to cut in such a way as to cause separation'', ''(a figurative extension of meaning of {L:ἐκκόπτω<SDBG:ἐκκόπτω:000000>}[a] ‘to cut off,’ {D:19.18}) to cause to cease by removing'']'
ἐκκράζω	'[''Communication'']'	'[''Complain'', ''Processes Involving the Mouth, Other Than Eating and Drinking'']'	to shout loudly, especially in distress
ἐκκύπτω	'[''Physical Events and States'']'	'[''See'']'	to gaze or bend forward to look out
εκλεγω	'[''Think'', ''Think'']'	'[''To Choose, To Select, To Prefer'', ''To Choose, To Select, To Prefer'']'	'[''to make a choice of one or more possible alternatives'', ''to make a special choice based upon significant preference, often implying a strongly favorable attitude toward what is chosen'']'
εκλειπω	'[''Possess, Transfer, Exchange'', ''Linear Movement'', ''Aspect'', ''Be, Become, Exist, Happen'']'	'[''Need, Lack'', ''Leave, Depart, Flee, Escape, Send'', ''Cease, Stop'', ''State'']'	'[''to change to a state in which something is lacking or insufficient{N:001}'', ''to depart out of a place'', ''to cease from an activity which has gone on for some time'', ''to cease, of a state, with the implication of nothing of the state continuing to exist'']'
εκλεκτος	'[''Think'']'	'[''To Choose, To Select, To Prefer'']'	'[''(derivative of {L:ἐκλέγω<SDBG:ἐκλέγω:000001>}[b] ‘to choose,’ {D:30.92}) that which has been chosen'']'
εκμυκτηριζω	'[''Communication'']'	'[''Mock, Ridicule'']'	'[''(figurative extension of meaning of ἐκμυκτηρίζω ‘to turn up the nose at,’ not occurring in the NT) to ridicule in a sneering and contemptuous way'']'
εκουσιος	'[''Attitudes and Emotions'']'	'[''Be Willing'']'	'[''pertaining to being willing to do something without being forced or pressured'']'
εκουσιως	'[''Attitudes and Emotions'', ''Think'']'	'[''Be Willing'', ''To Intend, To Purpose, To Plan'']'	'[''pertaining to being willing to do something without being forced or pressured'', ''pertaining to being deliberately intentional'']'
εκπειραζω	'[''Learn'', ''Learn'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Try To Learn'', ''Learn Something Against Someone'', ''Sin, Wrongdoing, Guilt'']'	'[''to try to learn the nature or character of someone or something by submitting such to thorough and extensive testing'', ''to obtain information to be used against a person by trying to cause someone to make a mistake'', ''to endeavor or attempt to cause someone to sin'']'
εκπορευομαι	'[''Linear Movement'', ''Behavior and Related States'']'	'[''Leave, Depart, Flee, Escape, Send'', ''Behavior, Conduct'']'	'[''to move out of an enclosed or welldefined two or three-dimensional area'', ''(idiom, literally: to go in and to go out) to live or to conduct oneself in relationship to some community or group'']'
ἐκρίπτω	'[''Physical Events and States'']'	'[''Throw, Hurl'']'	to discard by throwing away
ἐκσπάω	'[''Physical Events and States'']'	'[''Seize, Take into Custody'']'	to remove forcefully or suddenly
εκστασις	'[''Attitudes and Emotions'', ''Communication'']'	'[''Surprise, Astonish'', ''Non-Verbal Communication'']'	'[''a state of intense amazement, to the point of being beside oneself with astonishment'', ''a vision accompanied by an ecstatic psychological state'']'
εκταρασσω	'[''Hostility, Strife'']'	'[''Riot'']'	'[''to cause people to riot against'']'
εκτεινω	'[''Non-Linear Movement'', ''Control, Rule'']'	'[''Seize, Take into Custody'']'	'[''to cause an object to extend in space (for example, by becoming straight, unfolded, or uncoiled){N:001}'', ''(an idiom, literally to stretch out hands upon) to take a person into custody for alleged illegal activity'']'
ἐκτήκω	'[''Physical Events and States'']'	'[''Events Involving Liquids and Dry Masses'', ''Solid, Liquid'']'	to liquefy or disintegrate under heat or pressure
ἐκτίλλω	'[''Physical Events and States'']'	'[''Pull, Draw, Drag'', ''Seize, Take into Custody'']'	to pull out, usually forcefully or selectively
εκτινασσω	'[''Non-Linear Movement'']'	'[''Movement of Liquids or Masses'']'	'[''to shake something out or off, in order to get rid of an object or a substance'']'
εκτρεφω	'[''Physiological Processes and States'', ''Help, Care For'']'	'[''Eat, Drink'', ''Rear, Bring Up'']'	'[''to provide food for, with the implication of a considerable period of time and the food being adequate nourishment{N:001}'', ''to raise a child to maturity by providing for physical and psychological needs{N:002}'']'
εκφερω	'[''Linear Movement'', ''Linear Movement'', ''Physiological Processes and States'']'	'[''Carry, Bear'', ''Lead, Bring, Take'', ''Grow, Growth'']'	'[''to carry something out of a structure or area'', ''to lead or bring out of a structure or area'', ''to cause the growth and production of plants'']'
εκχεω	'[''Activities Involving Liquids or Masses'', ''Linear Movement'', ''Quantity'', ''Case'', ''Physical Events and States'', ''Aspect'', ''Case'', ''Behavior and Related States'', ''Violence, Harm, Destroy, Kill'', ''Physiological Processes and States'']'	'[''Movement of Liquids or Masses'', ''Disperse, Scatter'', ''Abundance, Excess, Sparing'', ''To Cause To Experience'', ''Events Involving Liquids and Dry Masses'', ''Do Intensely or Extensively'', ''Experiencer'', ''Behavior, Conduct'', ''Kill'', ''Live, Die'']'	'[''to cause to pour out'', ''to scatter a substance or mass'', ''(a figurative extension of meaning of {L:ἐκχέω<SDBG:ἐκχέω:000000>}[a] ‘to pour out,’ {D:47.4}) to cause to exist in an abundance'', ''(a figurative extension of meaning of {L:ἐκχέω<SDBG:ἐκχέω:000000>}[a] ‘to pour out,’ {D:47.4}) to cause someone to experience something in an abundant or full manner'', ''to flow out of a container{N:002}'', ''to give oneself over completely to some activity or state'', ''(a figurative extension of meaning of {L:ἐκχέω<SDBG:ἐκχέω:000004>}[e] ‘to flow out,’ {D:14.18}) to be involved in experiencing something in an abundant manner'', ''(a figurative extension of meaning of ἐκχέομαι ‘to pour out oneself,’ not occurring in the NT) to give oneself completely to some type of behavior'', ''(an idiom, literally: to pour out blood) to cause the death of someone by violent means'', ''(an idiom, literally: the blood pours out) to die, with the implication of a sacrificial purpose'']'
ελαια	'[''Plants'', ''Names of Persons and Places'', ''Plants'']'	'[''Trees'', ''Places'', ''Fruit Parts of Plants'']'	'[''tree reaching up to 10 m. high, but usually pruned to around 5 m.; leaves are grayish green above, and whitish underneath; fruit of the olive is about 2 cm. long and a bit more than a cm thick with a hard stone inside and a soft skin that covers the oily flesh; fruit is used for food and oil for cooking, for lamps, for rubbing on the body, for medicine, and in religion (anointing)'', ''a ridge to the east of Jerusalem, with the Kidron Valley in between'', ''fruit of the olive tree; about 2 cm. long and a bit more than a cm thick with a hard stone inside and a soft skin that covers the oily flesh; used for food and oil for cooking, for lamps, for rubbing on the body, for medicine, and in religion (anointing)'']'
ελαιον	'[''Artifacts'']'	'[''Plant Products'']'	'[''oil extracted from the fruit of olive trees, used as food, medicine, for burning in lamps, and as perfume when mixed with sweet-smelling substances{N:001}'']'
ἐλασσόω	'[''Physical Events and States'']'	'[''Increase, Decrease'']'	to reduce in size, value, or number
ἐλάτη	'[''Plants'']'	'[''Trees'']'	a tall evergreen tree
ελαττοω	'[''Status'', ''Status'']'	'[''Low Status or Rank [including persons of low status]'', ''Low Status or Rank [including persons of low status]'']'	'[''to cause something to have less status or rank'', ''to decrease in status or rank'']'
ελαφος	'[''Animals'']'	'[''Animals'']'	a deer, a swift and graceful animal
ελεαω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Mercy, Merciless'']'	'[''to show kindness or concern for someone in serious need'']'
ελεγμος	'[''Communication'']'	'[''Rebuke'']'	'[''to state that someone has done wrong, with the implication that there is adequate proof of such wrongdoing'']'
ελεγχος	'[''True, False'']'	'[''True, False'']'	'[''the evidence, normally based on argument or discussion, as to the truth or reality of something'']'
ελεγχω	'[''Communication'']'	'[''Rebuke'']'	'[''to state that someone has done wrong, with the implication that there is adequate proof of such wrongdoing'']'
ελεεω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Mercy, Merciless'']'	'[''to show kindness or concern for someone in serious need'']'
ελεημοσυνη	'[''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'']'	'[''Give'', ''Give'']'	'[''to give to those in need as an act of mercy'', ''(semantic derivative of {L:ἐλεημοσύνη<SDBG:ἐλεημοσύνη:000000>}[a] ‘giving to the needy,’ {D:57.111}) that which is given to help the needy'']'
ελεημων	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Mercy, Merciless'']'	'[''(derivative of {L:ἐλεάω<SDBG:ἐλεάω:000000>} ‘to show mercy,’ {D:88.76}) pertaining to showing mercy'']'
ελεος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Mercy, Merciless'']'	'[''to show kindness or concern for someone in serious need'']'
ελευθερος	'[''Control, Rule'', ''Status'']'	'[''Release, Set Free'', ''Slave, Free'']'	'[''pertaining to being free'', ''pertaining to a person who is not a slave, either one who has never been a slave or one who was a slave formerly but is no longer'']'
ελεφαντινος	'[''Natural Substances'']'	'[''Precious and Semiprecious Stones and Substances'']'	'[''(derivative of ἐλέφας ‘elephant,’ not occurring in the NT) pertaining to consisting of the tusks of elephants'']'
ελκυω	'[''Linear Movement'', ''Linear Movement'']'	'[''Pull, Draw, Drag'']'	to drag, draw, or pull along
ελπιζω	'[''Attitudes and Emotions'', ''Think'']'	'[''Hope, Look Forward To'', ''To Think Concerning Future Contingencies'']'	'[''to look forward with confidence to that which is good and beneficial'', ''to expect, with the implication of some benefit{N:001}'']'
ελπις	'[''Attitudes and Emotions'', ''Attitudes and Emotions'', ''Attitudes and Emotions'']'	'[''Hope, Look Forward To'', ''Hope, Look Forward To'', ''Hope, Look Forward To'']'	'[''to look forward with confidence to that which is good and beneficial'', ''(derivative of {L:ἐλπίζω<SDBG:ἐλπίζω:000000>}[a] ‘to hope,’ {D:25.59}) that which is hoped for'', ''(derivative of {L:ἐλπίζω<SDBG:ἐλπίζω:000000>}[a] ‘to hope,’ {D:25.59}) that which constitutes the cause or reason for hoping'']'
εμαυτου	'[''Discourse Referentials'']'	'[''Speaker'']'	'[''a reflexive reference to the first person singular within the immediate context'']'
εμβαλλω	'[''Existence in Space'']'	'[''Put, Place'']'	'[''to put or throw into a place'']'
εμβλεπω	'[''Sensory Events and States'', ''Think'']'	'[''See'', ''To Think, Thought'']'	'[''to direct one’s vision and attention to a particular object'', ''to process information by giving consideration to various aspects{N:001}'']'
ἐμέ	'[''Speech and language'']'	'[''Grammar'']'	accusative of first-person singular pronoun
ἐμοί	'[''Speech and language'']'	'[''Grammar'']'	dative of first-person singular pronoun
εμος	'[''Discourse Referentials'']'	'[''Speaker'']'	'[''pertaining to a speaker'']'
ἐμοῦ	'[''Speech and language'']'	'[''Grammar'']'	genitive of first-person singular pronoun
εμπαιγμος	'[''Communication'']'	'[''Mock, Ridicule'']'	'[''to make fun of someone by pretending that he is not what he is or by imitating him in a distorted manner'']'
εμπαιζω	'[''Communication'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Mock, Ridicule'', ''Mislead, Lead Astray, Deceive'']'	'[''to make fun of someone by pretending that he is not what he is or by imitating him in a distorted manner'', ''to trick someone into thinking or doing something and thus to make a fool of such a person'']'
ἐμπηγνύμι	'[''Physical Events and States'']'	'[''Press'']'	to drive or insert firmly into something
εμπιπλημι	'[''Physiological Processes and States'', ''Attitudes and Emotions'', ''Physiological Processes and States'']'	'[''Eat, Drink'', ''Enjoy, Take Pleasure In, Be Fond of Doing'', ''Eat, Drink'']'	'[''(two different forms of the same base, compare {D:23.17}) to be satisfied with food on the basis of having eaten enough'', ''to enjoy something fully and completely, with the implication of satisfying one’s desires'', ''(two different forms of the same base, compare {D:23.18}) to cause someone to be satisfied as the result of food which has been provided in sufficient quantity'']'
εμπιπτω	'[''Linear Movement'', ''Case'']'	'[''Fall'', ''Experiencer'']'	'[''to fall into a particular point or location'', ''to experience somewhat suddenly that which is difficult or bad'']'
εμπνευσις	'[''Communication'']'	'[''Breathe, Breath'']'	a breathing into, divine or artistic inspiration
εμπροσθεν	'[''Spacial Positions'', ''Spacial Positions'', ''Case'']'	'[''In Front Of, Face To Face, In Back Of, Behind'', ''In Front Of, Face To Face, In Back Of, Behind'', ''Viewpoint Participant'']'	'[''a position in front of an object, whether animate or inanimate, which is regarded as having a spacial orientation of front and back{N:001}'', ''a position on the front surface of an object'', ''(with the genitive) marking a participant whose viewpoint is relevant to an event{N:002}'']'
ἐμπυρίζω	'[''Physical Events and States'']'	'[''Burning'']'	to ignite completely
ἐμφαίνω	'[''Sensory Events and States'']'	'[''Well Known, Clearly Shown, Revealed'', ''See'']'	to show, disclose, or cause to appear
ἐμφανῶς	'[''Sensory Events and States'']'	'[''Well Known, Clearly Shown, Revealed'']'	in a visible, evident way
ἐμφράσσω	'[''Physical Events and States'']'	'[''Open, Closed'']'	to obstruct or seal an opening
εν	'[''Spacial Positions'', ''Spacial Positions'', ''Spacial Positions'', ''Spacial Positions'', ''Be, Become, Exist, Happen'', ''Spacial Extensions'', ''Relations'', ''Relations'', ''Case'', ''Relations'', ''Relations'', ''Relations'', ''Case'', ''Case'', ''Case'', ''Relations'', ''Relations'', ''Relations'', ''Time'', ''Time'', ''Case'', ''Real, Unreal'', ''Value'', ''Physiological Processes and States'', ''Time'', ''Time'', ''Trouble, Hardship, Relief, Favorable Circumstances'', ''Communication'', ''Know'', ''Time'', ''Time'', ''Know'', ''Time'', ''Know'', ''Time'', ''Know'', ''Time'']'	'[''Among, Between, In, Inside'', ''Among, Between, In, Inside'', ''On, Upon, On the Surface Of'', ''At, Beside, Near, Far'', ''State'', ''Extension To a Goal'', ''Association'', ''Attendant Circumstances'', ''Instrument'', ''Manner'', ''Specification'', ''Substance'', ''Experiencer'', ''Agent, Personal or Nonpersonal, Causative or Immediate, Direct or Indirect'', ''Guarantor Participant with Oaths'', ''Means'', ''Cause and/or Reason'', ''Result'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Duration of Time with Reference to Some Unit of Time: During, In, While, Throughout'', ''Content'', ''Important, Unimportant'', ''Birth, Procreation'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Easy, Light'', ''Discourse Types'', ''Well Known, Clearly Shown, Revealed'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Not Able To Be Known, Secret'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Not Able To Be Known, Secret'', ''Duration of Time with Reference to Some Unit of Time: During, In, While, Throughout'', ''Able To Be Known'', ''Duration of Time with Reference to Some Unit of Time: During, In, While, Throughout'']'	'[''a position defined as being within certain limits{N:001}'', ''a position within an area determined by other objects and distributed among such objects{N:002}'', ''a position on the surface of an area'', ''a position in proximity to or in the immediate vicinity of an object or other position'', ''a marker of a state or condition'', ''extension toward a goal which is inside an area'', ''a marker of close personal association'', ''a marker of attendant circumstances, often with the implication of means{N:003}'', ''(with the dative) a marker of an immediate instrument'', ''a marker of the manner in which an event occurs{N:004}'', ''a marker of an area of activity which bears some relation to something else'', ''a marker of that of which something consists'', ''a marker of an experiencer of an event{N:005}'', ''(with the dative) a marker of agent, often with the implication of an agent being used as an instrument, and in some instances relating to general behavior rather than to some specific event'', ''a marker of objects which serve as symbolic substitutes for supernatural persons or powers presumed to act as guarantors of compliance with oaths'', ''(with the dative) a marker of the means by which one event makes another event possible{N:006}'', ''a marker of cause or reason, with focus upon instrumentality, either of objects or events'', ''a marker of result, with the probable implication of a preceding process'', ''a marker of a point of time which is simultaneous to or overlaps with another point of time{N:007}'', ''a marker of the extent of time within a unit'', ''(with the dative) a marker of content as a means of specifying a particular referent'', ''(an idiom: in truth) pertaining to being a real or actual event or state{N:008}'', ''(an idiom, literally: to be in weight, see {D:86.1}) to insist on one’s importance or worth'', ''(an idiom, literally: to have in the womb) to be in a state of pregnancy.'', ''(an idiom, literally: in great) pertaining to a relatively long duration of time'', ''ἐν ὀλίγῳ - pertaining to a relatively brief extent of time{N:009}'', ''pertaining to that which is accomplished easily or without difficulty'', ''pertaining to expressions which are not to be understood literally, but symbolically or figuratively'', ''(an idiom, literally: in boldness) in an evident or publicly known manner'', ''(an idiom, literally: in the blinking of an eye) an extremely short duration of time'', ''a very brief period of time'', ''(an idiom, literally: in the darkness) pertaining to not being able to be known by the public but known by some in-group or by those immediately involved'', ''(an idiom, literally: in the next) a point of time subsequent to another point of time, but with the implication of an ordered sequence'', ''(an idiom, literally: in the hidden) pertaining to not being able to be known by the public but known by some in-group or by those immediately involved'', ''(an idiom, literally: in the between) an extent of time within another unit or extension of time'', ''(an idiom, literally: in the light) pertaining to being widely known in view of the events in question having taken place in public{N:010}'', ''an extent of time of the same length as another extent or unit of time'']'
εναντι	'[''Spacial Positions'', ''Case'']'	'[''In Front Of, Face To Face, In Back Of, Behind'', ''Viewpoint Participant'']'	'[''a position in front of an object, whether animate or inanimate, which is regarded as having a spacial orientation of front and back{N:001}'', ''(with the genitive) marking a participant whose viewpoint is relevant to an event{N:002}'']'
εναντιον	'[''Spacial Positions'', ''Case'', ''Relations'']'	'[''In Front Of, Face To Face, In Back Of, Behind'', ''Viewpoint Participant'', ''Contrast'']'	'[''a position in front of an object, whether animate or inanimate, which is regarded as having a spacial orientation of front and back{N:001}'', ''marking a participant whose viewpoint is relevant to an event{N:002}'', ''a marker of an alternative serving as an emphatic contrast'']'
εναντιος	'[''Spacial Orientations'', ''Hostility, Strife'', ''Spacial Positions'', ''Hostility, Strife'']'	'[''Left, Right, Straight Ahead, Opposite'', ''Opposition, Hostility'', ''Opposite, Over Against, Across From, Offshore From'', ''Opposition, Hostility'']'	'[''pertaining to being oriented in the direction opposite to a movement'', ''pertaining to being hostile toward{N:001}'', ''a position over against an object or other position'', ''pertaining to being hostile toward{N:001}'']'
ἐνδιαβάλλω	'[''Communication'']'	'[''Accuse, Blame'',''Accusation'']'	to accuse someone falsely, often with malice
ἐνδοξάζω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Honor or Respect in Relation to Status'']'	to give honor or glory, especially publicly
ενδοξος	'[''Features of Objects'', ''Status'']'	'[''Glorious'', ''Honor or Respect in Relation to Status'']'	'[''pertaining to being splendid or glorious'', ''pertaining to high status, involving both honor and respect'']'
ενδυμα	'[''Artifacts'']'	'[''Cloth, Leather, and Objects Made of Such Materials'']'	'[''any kind of clothing'']'
ενδυω	'[''Activities Involving Clothing and Adorning'']'	'[''Cloth, Leather, and Objects Made of Such Materials'']'	'[''to put on clothes, without implying any particular article of clothing'']'
ενεδρα	'[''Hostility, Strife'']'	'[''Ambush'']'	'[''concealing oneself or proceeding secretly, while waiting for an appropriate opportunity to attack'']'
ενεδρευω	'[''Hostility, Strife'', ''Think'']'	'[''Ambush'', ''To Intend, To Purpose, To Plan'']'	'[''to conceal oneself or to proceed secretly, while waiting for an appropriate opportunity to attack'', ''(a figurative extension of meaning of {L:ἐνεδρεύω<SDBG:ἐνεδρεύω:000000>}[a] ‘to lie in ambush,’ to lie in wait in order to attack, {D:39.51}) to plan, with the specific purpose of harming'']'
ενεκα	'[''Relations'', ''Relations'', ''Case'']'	'[''Cause and/or Reason'', ''Purpose'', ''Reason Participant'']'	'[''a marker of cause or reason, often with the implication of purpose in the sense of ‘for the sake of’'', ''a marker of purpose, with the frequent implication of some underlying reason'', ''(with the genitive) a marker of a participant constituting the reason for an event'']'
ενευλογεω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Kindness, Harshness'']'	'[''to provide benefits, often with the implication of certain supernatural factors involved'']'
ἐνθύμημα	'[''Attitudes and Emotions'', ''Think'']'	'[''To Intend, To Purpose, To Plan'']'	a mental plan or devised scheme
ἐνθυμίον	'[''Attitudes and Emotions'', ''Think'']'	'[''To Think, Thought'']'	a mental impression or idea
ενθυμιος	'[''Attitudes and Emotions'', ''Think'']'	'[''Be Ready To Learn, Pay Attention'']'	Mindful or engaged in thoughtful consideration
ενιαυτος	'[''Time'', ''Time'']'	'[''Definite Units of Time: Year, Month, Week, Day, Hour'', ''Indefinite Units of Time: Age, Lifetime, Interval, Period'']'	'[''the period of a complete year (similar in meaning to {L:ἔτος<SDBG:ἔτος:000000>} ‘year,’ {D:67.167}, but with the focus upon duration)'', ''a unit of time of indefinite length, possibly somewhat shorter than {L:αἰών<SDBG:αἰών:000000>}[a] ‘age’ ({D:67.143}) but of a relatively uncertain reference'']'
ενισχυω	'[''Features of Objects'', ''Features of Objects'']'	'[''Strong, Weak'', ''Strong, Weak'']'	'[''to cause someone to regain strength after a temporary loss'', ''to regain one’s physical strength after a temporary loss of it'']'
εννεοσσευω	'[''Animals'']'	'[''Birds'']'	To build a nest or hatch young
ενταυθα	'[''Spacial Positions'']'	'[''Here, There'']'	Here, in this place
εντεινω	'[''Physical Events and States'']'	'[''Extension Along a Path'', ''Extension To a Goal'']'	To stretch out or extend
εντελλομαι	'[''Communication'']'	'[''Command, Order'']'	'[''to give definite orders, implying authority or official sanction'']'
εντιμος	'[''Value'', ''Status'']'	'[''Valuable, Lacking in Value'', ''Honor or Respect in Relation to Status'']'	'[''pertaining to being of considerable value or worth'', ''pertaining to high status, involving both honor and respect'']'
εντολη	'[''Communication'']'	'[''Command, Order'']'	'[''(derivative of {L:ἐντέλλομαι<SDBG:ἐντέλλομαι:000000>} ‘to command,’ {D:33.329}) that which is authoritatively commanded'']'
εντος	'[''Spacial Positions'', ''Spacial Positions'']'	'[''Among, Between, In, Inside'', ''Among, Between, In, Inside'']'	'[''a position within an area determined by other objects and distributed among such objects{N:001}'', ''pertaining to being within an area'']'
εντρεπω	'[''Attitudes and Emotions'', ''Status'']'	'[''Shame, Disgrace, Humiliation'', ''Honor or Respect in Relation to Status'']'	'[''to cause someone to be embarrassed or ashamed'', ''to show respect to a person on the basis of his high status'']'
εντρομος	'[''Non-Linear Movement'', ''Attitudes and Emotions'']'	'[''Fear, Terror, Alarm'']'	'[''shaking or trembling, often with the implication of fear and/or consternation'', ''pertaining to extreme terror or fear, often accompanied by trembling'']'
εντροπη	'[''Attitudes and Emotions'']'	'[''Shame, Disgrace, Humiliation'']'	'[''a state of embarrassment resulting from what one has done or failed to do{N:001}'']'
ενυπνιον	'[''Communication'']'	'[''Non-Verbal Communication'']'	'[''a dream as a means of communication{N:001}'']'
ενωπιος	'[''Spacial Positions'']'	'[''Be in a Place'', ''In Front Of, Face To Face, In Back Of, Behind'']'	In the presence of or before someone
ενωτιζομαι	'[''Sensory Events and States'']'	'[''Hear'']'	'[''to listen carefully to and pay attention'']'
εξαγγελλω	'[''Communication'']'	'[''Inform, Announce'']'	'[''to announce, with focus upon the extent to which the announcement or proclamation extends{N:001}'']'
εξαγορευω	'[''Communication'']'	'[''Acknowledge'', ''Admit, Confess, Deny'']'	To declare openly or confess
εξαγω	'[''Linear Movement'']'	'[''Lead, Bring, Take'']'	'[''to lead or bring out of a structure or area'']'
εξαιρεω	'[''Existence in Space'', ''Danger, Risk, Safe, Save'', ''Think'']'	'[''Put, Place'', ''Cause To Be Safe, Free from Danger'', ''To Choose, To Select, To Prefer'']'	'[''to take something out of its place'', ''to rescue or set someone free from danger'', ''to choose out from among'']'
εξαιρω	'[''Association'']'	'[''Belong To, Be Included in the Membership of, Be Excluded From'']'	'[''to exclude or remove someone from an association'']'
εξαλειφω	'[''Activities Involving Liquids or Masses'', ''Be, Become, Exist, Happen'']'	'[''Application and Removal of Liquids or Masses'', ''Exist'']'	'[''to remove a liquid by wiping off'', ''(a figurative extension of meaning of {L:ἐξαλείφω<SDBG:ἐξαλείφω:000000>}[a] ‘to wipe off, to wipe away,’ {D:47.18}) to cause something to cease by obliterating any evidence'']'
εξανατελλω	'[''Physiological Processes and States'']'	'[''Grow, Growth'']'	'[''to begin vegetative growth, with special emphasis upon the sprouting of leaves'']'
εξανθεω	'[''Plants'']'	'[''Plants That Are Not Trees'', ''Grow, Growth'']'	To bloom or blossom
εξαπινα	'[''Time'']'	'[''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''pertaining to an extremely short period of time between a previous state or event and a subsequent state or event'']'
εξαπορεω	'[''Attitudes and Emotions'', ''Think'']'	'[''Discouragement'']'	To be utterly at a loss or in despair
εξαποστελλω	'[''Linear Movement'', ''Linear Movement'']'	'[''Leave, Depart, Flee, Escape, Send'', ''Leave, Depart, Flee, Escape, Send'']'	'[''to send out or away from, presumably for some purpose'', ''to send a message, presumably by someone{N:001}'']'
εξαριθμεω	'[''Number'']'	'[''Measure, To Measure'']'	To count or enumerate
εξαρχω	'[''Relations'']'	'[''Rule, Govern'', ''Guide, Lead'']'	To rule or lead
εξασθενεω	'[''Physical Events and States'']'	'[''Strong, Weak'', ''Sickness, Disease, Weakness'']'	To grow weak or become feeble
εξεγειρω	'[''Physiological Processes and States'', ''Be, Become, Exist, Happen'', ''Status'']'	'[''Live, Die'', ''Exist'', ''High Status or Rank [including persons of high status]'']'	'[''to cause someone to live again after having once died'', ''to cause to come into existence'', ''to cause someone to have a higher position and status'']'
εξεργαζομαι	'[''Behavior and Related States'']'	'[''Do Intensely or Extensively'']'	To work out or accomplish
εξερευγομαι	'[''Communication'']'	'[''Speak, Talk'']'	To pour forth or utter
εξερευναω	'[''Attitudes and Emotions'', ''Think'']'	'[''Try To Learn'']'	To search out or investigate
εξερευνησις	'[''Attitudes and Emotions'', ''Think'']'	'[''Try To Learn'']'	An investigation or search
εξερπω	'[''Linear Movement'', ''Linear Movement'']'	'[''Come/Go Out Of'']'	To creep out or crawl out
